"User Type","Product","Price","Youclean price","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shirt","109","95","","","","","","","","","","","","","","","","","","","","","",""
"Men","Trousers","109","119","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shorts","69","69","","","","","","","","","","","","","","","","","","","","","",""
"Men","Socks Pair","49","19","","","","","","","","","","","","","","","","","","","","","",""
"Men","Suit 2 Pc","359","299","","","","","","","","","","","","","","","","","","","","","",""
"Men","Suit 3 Pc","449","399","","","","","","","","","","","","","","","","","","","","","",""
"Men","Sweater / Cardigan - Full Sleeve","199","179","","","","","","","","","","","","","","","","","","","","","",""
"Men","Sweater / Cardigan - Sleeveless","169","149","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shawl / Lohi","199","199","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shawl - Pashmina","699","499","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shawl - Toosh","999","499","","","","","","","","","","","","","","","","","","","","","",""
"Men","Tie","69","39","","","","","","","","","","","","","","","","","","","","","",""
"Men","Jeans","109","119","","","","","","","","","","","","","","","","","","","","","",""
"Men","T - Shirt","109","95","","","","","","","","","","","","","","","","","","","","","",""
"Men","Parka Coat < Fur Inside > Short","249","199","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wind Cheater / Rain Jacket","107","179","","","","","","","","","","","","","","","","","","","","","",""
"Men","Safari Shirt & Pant","249","219","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shoes Sports","449","379","","","","","","","","","","","","","","","","","","","","","",""
"Men","Combo - Shirt and Pant","149","214","","","","","","","","","","","","","","","","","","","","","",""
"Men","Swimming Trunks","50","49","","","","","","","","","","","","","","","","","","","","","",""
"Men","Muffler ( Woolen / Pashmina )","219","119","","","","","","","","","","","","","","","","","","","","","",""
"Men","Gloves ( Woolen )","65","49","","","","","","","","","","","","","","","","","","","","","",""
"Men","Thermal","99","79","","","","","","","","","","","","","","","","","","","","","",""
"Men","Pocket Square","29","29","","","","","","","","","","","","","","","","","","","","","",""
"Men","Turban","149","129","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wallet","249","149","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wedding Tuxedo ( 3 pcs )","799","599","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wedding Tuxedo Designer ( 3 pcs )","999","799","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wedding Suit ( 3 pcs )","899","499","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wedding Suit Designer ( 3 pcs )","1199","799","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wedding Sherwani set","599","429","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wedding Sherwani set Designer","799","479","","","","","","","","","","","","","","","","","","","","","",""
"Men","Waist Coat","149","149","","","","","","","","","","","","","","","","","","","","","",""
"Men","Kurta Payjama ( Light )","199","199","","","","","","","","","","","","","","","","","","","","","",""
"Men","Kurta Payjama ( Heavy )","349","278","","","","","","","","","","","","","","","","","","","","","",""
"Men","Jacket Normal Long","249","249","","","","","","","","","","","","","","","","","","","","","",""
"Men","Dhoti / Lungi ( Silk )","119","149","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shirt & Dhoti ( Silk )","179","244","","","","","","","","","","","","","","","","","","","","","",""
"Men","Parka Coat < Fur Inside > Long","299","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Formal and Casual Trousers / Pants","109","119","","","","","","","","","","","","","","","","","","","","","",""
"Men","Joggers","179","179","","","","","","","","","","","","","","","","","","","","","",""
"Men","Dhoti Normal","107","129","","","","","","","","","","","","","","","","","","","","","",""
"Men","Blazer / Coat - Short","299","199","","","","","","","","","","","","","","","","","","","","","",""
"Men","Boots leather","599","499","","","","","","","","","","","","","","","","","","","","","",""
"Men","Gloves ( Leather )","365","119","","","","","","","","","","","","","","","","","","","","","",""
"Men","Kurta ( Cotton )","159","149","","","","","","","","","","","","","","","","","","","","","",""
"Men","Kurta ( Silk )","199","179","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shoes Leather / Suede / Nubuck","549","499","","","","","","","","","","","","","","","","","","","","","",""
"Men","Dhoti Heavy","167","179","","","","","","","","","","","","","","","","","","","","","",""
"Men","Kurta Heavy","229","229","","","","","","","","","","","","","","","","","","","","","",""
"Men","Pyjama","99","99","","","","","","","","","","","","","","","","","","","","","",""
"Men","Track Pant","95","99","","","","","","","","","","","","","","","","","","","","","",""
"Men","Sherwani","399","379","","","","","","","","","","","","","","","","","","","","","",""
"Men","Pagdi","155","129","","","","","","","","","","","","","","","","","","","","","",""
