"User Type","Product","Price","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shirt","55","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Trousers","29","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shorts","35","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Socks Pair","29","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Suit 2 Pc","179","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Suit 3 Pc","225","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Sweater / Cardigan - Full Sleeve","99","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Sweater / Cardigan - Sleeveless","85","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shawl / Lohi","99","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shawl - Pashmina","349","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shawl - Toosh","499","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Tie","35","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Jeans","69","","","","","","","","","","","","","","","","","","","","","","",""
"Men","T - Shirt","55","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Parka Coat < Fur Inside > Short","129","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wind Cheater / Rain Jacket","59","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Safari Shirt & Pant","125","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shoes Sports","229","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Combo - Shirt and Pant","79","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Swimming Trunks","29","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Muffler ( Woolen / Pashmina )","109","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Gloves ( Woolen )","39","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Thermal","49","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Pocket Square","19","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Turban","79","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wallet","29","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wedding Tuxedo ( 3 pcs )","399","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wedding Tuxedo Designer ( 3 pcs )","499","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wedding Suit ( 3 pcs )","449","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wedding Suit Designer ( 3 pcs )","599","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wedding Sherwani set","299","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Wedding Sherwani set Designer","399","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Waist Coat","75","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Kurta Payjama ( Light )","99","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Kurta Payjama ( Heavy )","179","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Jacket Normal Long","129","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Dhoti / Lungi ( Silk )","59","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shirt & Dhoti ( Silk )","89","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Parka Coat < Fur Inside > Long","149","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Formal and Casual Trousers / Pants","29","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Joggers","89","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Dhoti Normal","59","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Blazer / Coat - Short","129","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Boots leather","299","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Gloves ( Leather )","139","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Kurta ( Cotton )","79","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Kurta ( Silk )","99","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Shoes Leather / Suede / Nubuck","279","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Dhoti Heavy","89","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Kurta Heavy","119","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Pyjama","49","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Track Pant","49","","","","","","","","","","","","","","","","","","","","","","",""
"Men","Vest","19","","","","","","","","","","","","","","","","","","","","","","",""
